"","sido","sigungu","sigungu_cd","2020_1","2020_2","2020_3","2020_4","2020_5","2020_6","2020_7","2020_8","2020_9","2020_10","2020_11","2020_12","2021_1","2021_2","2021_3","2021_4","2021_5","2021_6","2021_7","2021_8","2021_9","2021_10","2021_11","2021_12"
"223","경북","예천군",37400,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
"224","경북","봉화군",37410,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"225","경북","울진군",37420,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3
"226","경북","울릉군",37430,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"227","경남","진주시",38030,1,0,2,0,2,2,0,1,1,2,1,0,0,1,0,0,0,1,1,0,0,1,1,0
"228","경남","통영시",38050,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,1
"229","경남","사천시",38060,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"230","경남","김해시",38070,0,0,1,1,0,0,2,0,0,0,0,0,3,0,0,1,1,2,2,2,1,1,2,2
"231","경남","밀양시",38080,0,1,0,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"232","경남","거제시",38090,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2,0,0
"233","경남","양산시",38100,1,0,0,1,0,0,0,2,0,2,0,0,1,1,0,0,1,1,1,1,1,0,4,0
"234","경남","창원시 의창구",38111,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"235","경남","창원시 성산구",38112,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"236","경남","창원시 마산합포구",38113,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
"237","경남","창원시 마산회원구",38114,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1
"238","경남","창원시 진해구",38115,0,0,0,1,2,1,2,1,0,0,1,0,2,0,1,0,0,0,1,0,0,0,1,1
"239","경남","의령군",38310,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"240","경남","함안군",38320,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"241","경남","창녕군",38330,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"242","경남","고성군",38340,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"243","경남","남해군",38350,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"244","경남","하동군",38360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"245","경남","산청군",38370,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"246","경남","함양군",38380,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"247","경남","거창군",38390,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"248","경남","합천군",38400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"249","제주","제주시",39010,2,2,1,0,1,3,2,0,2,3,4,5,5,3,4,8,23,14,4,1,5,1,3,5
"250","제주","서귀포시",39020,0,0,0,0,3,1,0,3,0,0,0,1,0,0,2,3,9,10,2,1,1,3,0,1
